15 1902 5665
1 259 -0.0525773 0.103626
2 259 -0.0860386 0.112753
1 260 -0.0525773 0.129182
2 260 -0.0854302 0.136483
1 261 -0.037976 0.154737
2 261 -0.0708289 0.16143
1 262 0.228498 0.202197
2 262 0.188344 0.209499
1 263 0.326433 -0.0833971
3 263 0.266531 -0.0552765
1 264 0.31543 -0.0748387
3 264 0.255528 -0.0467181
1 265 0.227411 0.122005
3 265 0.14143 0.144828
1 266 0.326188 -0.0926892
3 266 0.267509 -0.0648131
1 267 0.304183 -0.0765504
3 267 0.245504 -0.0486743
1 264 0.315919 -0.0736161
1 268 0.235235 0.120049
3 268 0.148683 0.142937
1 269 0.226433 0.122984
3 269 0.140615 0.145235
1 270 0.330002 -0.0877008
3 270 0.270149 -0.0595313
1 271 0.287753 0.0355408
3 271 0.212057 0.0601891
1 272 0.234942 0.120049
3 272 0.149035 0.142585
1 273 0.22614 0.12357
3 273 0.139881 0.146458
1 274 0.303245 -0.0750245
3 274 0.244096 -0.0475592
1 275 0.339156 -0.0707991
3 275 0.274938 -0.0429112
1 276 -0.0453105 0.102443
3 276 -0.102171 0.118582
1 277 0.406755 0.21653
3 277 0.29057 0.243995
1 275 0.338312 -0.070799
1 278 -0.0470004 0.101598
3 278 -0.103051 0.118289
1 279 0.221704 0.124416
3 279 0.135516 0.147233
1 277 0.406755 0.215685
1 280 0.416895 0.215685
3 280 0.300287 0.243573
1 281 0.260742 -0.0271926
3 281 0.198889 -0.00234716
1 282 -0.0434515 0.115796
3 282 -0.102769 0.132021
1 283 0.403713 0.210107
3 283 0.28812 0.237488
1 284 0.38242 0.216192
3 284 0.266826 0.243573
1 285 0.305154 -0.075261
3 285 0.245532 -0.0484888
1 286 0.275952 -0.00954726
3 286 0.209029 0.0153997
1 283 0.403713 0.209499
4 10 -0.3081 -0.296437
1 10 0.0385373 -0.172038
1 287 0.147542 0.00931928
4 287 0.0501509 -0.109072
1 10 0.00980889 -0.21911
1 10 0.0220338 -0.201993
1 288 0.163842 0.304178
4 288 0.0709332 0.328386
1 289 -0.209261 -0.323033
4 289 -0.291412 -0.265521
1 10 0.00931986 -0.220332
1 10 0.0225227 -0.201259
1 289 -0.208674 -0.32186
1 10 0.0184152 -0.205661
1 10 0.0219359 -0.202139
1 10 0.0236964 -0.196858
1 289 -0.177297 -0.294916
1 290 -0.154786 -0.265101
4 290 -0.291412 -0.264347
1 291 0.274885 -0.0874726
5 291 0.154062 0.0388663
1 292 0.382871 0.221243
5 292 -0.180899 -0.258234
1 293 0.272643 -0.384165
5 293 -0.180491 -0.258641
1 292 -0.114885 -0.379275
1 293 0.0257012 -0.296135
5 209 -0.179921 -0.258478
1 209 0.380222 0.218594
1 209 0.382667 0.219816
1 209 0.0254567 -0.296625
5 209 -0.180508 -0.258478
